Contestant,Garrick Ohlsson,John Allison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała
Jacky Zhang,19,19,20,21,20,19,18,18,16,18,18,19,23,19,17,18,19
Piotr Alexewicz,19,23,22,22,22,19,23,23,17,17,22,21,21,21,21,21,21
Jonas Aumiller,19,20,21,20,21,22,23,22,18,17,21,20,19,19,16,20,18
Yanyan Bao,18,18,21,19,23,17,18,18,17,19,16,19,22,17,19,20,22
Kai-Min Chang,21,20,20,21,23,NA,18,22,19,21,20,20,18,24,20,22,20
Kevin Chen,20,22,23,24,24,19,23,23,24,24,23,22,22,20,19,22,24
Xuehong Chen,18,19,21,20,21,19,23,19,19,20,17,22,22,17,22,18,21
Zixi Chen,22,16,21,21,21,17,18,22,19,21,22,21,17,16,18,17,18
Yubo Deng,17,15,20,19,22,NA,23,22,18,17,19,19,21,21,20,16,16
Yang (Jack) Gao,25,17,20,21,24,18,23,24,17,20,23,23,16,24,20,24,18
Eric Guo,18,19,22,24,21,18,18,22,20,20,24,21,20,21,18,22,19
Xiaoyu Hu,20,20,22,18,21,18,17,17,17,20,18,20,20,22,18,17,17
Zihan Jin,21,22,20,18,20,20,17,21,21,22,16,21,16,18,16,18,17
Adam Kałduński,21,16,22,21,20,18,20,20,17,18,20,21,21,18,NA,22,19
David Khrikuli,17,24,23,24,23,22,23,24,19,23,23,18,19,12,19,24,20
Shiori Kuwahara,21,20,22,24,23,19,23,22,19,18,23,16,22,24,22,21,20
Hyo Lee,22,22,22,20,20,21,23,20,20,20,20,20,23,NA,19,19,22
Hyuk Lee,17,20,20,25,20,20,22,20,21,21,19,24,22,NA,21,21,21
Kwanwook Lee,21,17,20,20,22,21,20,18,18,21,17,18,18,17,18,17,17
Xiaoxuan Li,22,18,21,23,20,18,21,20,16,23,18,NA,22,23,19,19,21
Zhexiang Li,19,22,23,21,21,22,23,17,17,19,17,17,19,16,17,19,18
Tianyou Li,23,20,23,21,24,18,23,23,24,23,19,22,19,22,20,23,22
Eric Lu,24,23,21,24,22,NA,24,25,18,22,24,NA,22,25,22,25,22
Philipp Lynov,19,22,22,18,21,18,17,20,18,17,24,17,18,17,17,20,18
Tianyao Lyu,19,17,20,24,21,20,22,21,18,21,20,20,25,24,NA,20,22
Ruben Micieli,23,17,23,21,21,18,17,21,19,19,21,17,20,15,16,20,17
Nathalia Milstein,21,21,20,22,20,17,20,21,16,21,19,20,17,15,16,21,17
Yumeka Nakagawa,17,21,20,23,21,23,24,21,17,22,20,20,19,19,15,19,18
Vincent Ong,17,16,20,19,23,24,23,24,18,21,25,21,20,24,21,23,20
Piotr Pawlak,25,23,22,21,19,19,22,21,17,21,19,19,21,16,20,24,21
Yehuda Prokopowicz,23,22,23,22,21,17,18,22,16,22,19,21,21,20,19,19,19
Hao Rao,16,18,22,20,21,17,17,24,17,19,17,22,22,21,18,18,19
Anthony Ratinov,22,17,21,20,21,18,21,17,19,21,22,NA,19,21,20,20,21
Miyu Shindo,17,20,20,23,22,20,19,18,18,21,22,19,23,23,22,22,23
Gabriele Strata,16,22,22,18,22,23,24,25,17,17,22,21,21,17,17,22,21
Tomoharu Ushida,20,19,24,25,22,19,21,21,24,22,21,22,NA,22,20,18,19
Zitong Wang,22,22,23,21,22,NA,21,17,16,24,19,23,18,24,18,21,18
Yifan Wu,21,19,21,24,21,17,23,22,18,20,23,20,19,18,18,20,22
Miki Yamagata,19,18,21,24,20,17,22,21,17,22,23,21,18,16,21,21,23
William Yang,21,16,20,23,24,24,24,16,22,24,22,NA,21,25,24,25,21
